gid,raw,nowcast,lagged,dropnear
39028,0.3498684763908386,0.3607979416847229,0.23460590839385986,0.27396708726882935
39029,0.1426982283592224,0.2476676106452942,0.04904657602310181,0.424308180809021
39034,0.8260312080383301,0.9041504263877869,0.8482480645179749,0.9005505442619324
39035,0.5222203731536865,0.5670489072799683,0.5502015352249146,0.6690782308578491
39036,-5.886982440948486,-3.2631964683532715,-5.318569660186768,-3.442140579223633
39037,0.7237714529037476,0.7899680137634277,0.7641041278839111,0.747870683670044
39042,0.7545129060745239,0.8452900052070618,0.8232066631317139,0.874704122543335
39052,0.8315863609313965,0.8394015431404114,0.8546037077903748,0.828499972820282
39061,0.6746384501457214,0.6944934725761414,0.6838315725326538,0.6471800804138184
39081,0.7713233828544617,0.8582579493522644,0.7837862968444824,0.8640941381454468
40003,0.8688396215438843,0.9062754511833191,0.8829377293586731,0.8894333839416504
40004,0.8344350457191467,0.8527677059173584,0.8496657013893127,0.8571449518203735
40005,0.8641951084136963,0.8857133388519287,0.8845381736755371,0.8693004846572876
40007,0.86278235912323,0.9237125515937805,0.8636751174926758,0.9012960195541382
40009,0.787695586681366,0.8430315852165222,0.7829932570457458,0.8810905814170837
40010,0.8712265491485596,0.839704155921936,0.8673416972160339,0.8421087265014648
40011,0.8717232346534729,0.9047424793243408,0.8861322999000549,0.873366117477417
40012,0.7041497230529785,0.6813341379165649,0.6412409543991089,0.7390432357788086
40013,0.6234043836593628,0.6695831418037415,0.6341137886047363,0.6656777858734131
40016,0.37409186363220215,0.3521714210510254,0.3818262815475464,0.41451627016067505
40018,0.789972722530365,0.8338788151741028,0.7818829417228699,0.8490686416625977
41001,0.48361796140670776,0.6089286208152771,0.4724072217941284,0.5826207995414734
41003,0.7902984619140625,0.8317267894744873,0.7925211191177368,0.8315442800521851
41005,0.867798388004303,0.8911828994750977,0.8677861094474792,0.9153732061386108
41006,0.6921697854995728,0.8352813124656677,0.6847458481788635,0.8555282354354858
41011,0.8124518394470215,0.8596181869506836,0.8099103569984436,0.8421279191970825
41012,0.7518541812896729,0.8282184600830078,0.7481784224510193,0.8074359893798828
41013,0.7840969562530518,0.8711309432983398,0.7954646348953247,0.9156357645988464
41014,0.842427670955658,0.8318672776222229,0.847315788269043,0.8272761702537537
41016,0.7889020442962646,0.9038558602333069,0.7920372486114502,0.8965173363685608
41019,0.8465064764022827,0.882002055644989,0.8469013571739197,0.8801701068878174
41020,0.7934874296188354,0.883562445640564,0.8026907444000244,0.9058975577354431
41022,0.8511868715286255,0.9015280604362488,0.8574460744857788,0.8769895434379578
41023,0.5916328430175781,0.6489198207855225,0.546403169631958,0.6608244180679321
41025,0.8594513535499573,0.8950588703155518,0.8609464764595032,0.8916138410568237
41027,0.7044516801834106,0.8078898191452026,0.7026355266571045,0.784194827079773
41028,0.7595125436782837,0.8109928369522095,0.7607520818710327,0.7752315998077393
42001,0.695366621017456,0.8012353181838989,0.6905544996261597,0.7861989736557007
42003,0.7984012961387634,0.7767741084098816,0.8042846322059631,0.796998918056488
42004,0.6171427369117737,0.7268351912498474,0.625251293182373,0.6960762143135071
