gid,nse_gauged,nse_ungauged,top1_nse_ungauged,fold,chalk,gauge_name,penalty,area
38014,0.7744259834289551,0.7551541328430176,-0.9764678478240967,2,False,Salmon Brook at Edmonton,0.0192718505859375,1.3592661646067485
38017,-2.6224586963653564,-6.749467372894287,-344.963134765625,1,False,Mimram at Whitwell,4.127008676528931,1.5843312243675307
38018,0.759274423122406,0.6277939081192017,-2.1624319553375244,3,False,Upper Lee at Water Hall,0.13148051500320435,2.197914303318418
38021,0.7970314025878906,0.7588487267494202,-0.12028372287750244,0,False,Turkey Brook at Albany Park,0.03818267583847046,1.617943434828973
39001,0.8843239545822144,0.7835559248924255,-2.3061397075653076,0,False,Thames at Kingston,0.10076802968978882,3.996985547524192
39006,0.8758761882781982,0.8362486958503723,-11.138860702514648,1,True,Windrush at Newbridge,0.03962749242782593,2.558216411281003
39007,0.8183517456054688,0.791057825088501,-12.817377090454102,0,False,Blackwater at Swallowfield,0.027293920516967773,2.5560611590095323
39010,-0.0683232545852661,-1.145812749862671,-8.569327354431152,2,False,Colne at Denham,1.0774894952774048,2.8608767964032977
39011,0.7670355439186096,0.6821364164352417,-6.443150520324707,0,False,Wey at Tilford,0.08489912748336792,2.5925320448535816
39012,0.6095150709152222,-0.6629558801651001,-10.21343994140625,4,False,Hogsmill at Kingston upon Thames,1.2724709510803223,1.8627870982353443
39014,-1.6287968158721924,-9.580540657043457,-461.5440979003906,3,False,Ver at Hansteads,7.951743841171265,2.1288837020997735
39016,0.6758105754852295,0.6558731198310852,-1.6938400268554688,0,False,Kennet at Theale,0.019937455654144287,3.015942057262973
39020,0.8714622855186462,0.7108010053634644,-34.245731353759766,1,True,Coln at Bibury,0.16066128015518188,2.030599721965951
39021,0.4291628003120422,0.23897415399551392,-3.8165736198425293,0,False,Cherwell at Enslow Mill,0.19018864631652826,2.744652789820986
39022,0.8593500852584839,0.41470807790756226,-3.8327903747558594,1,False,Loddon at Sheepbridge,0.44464200735092163,2.24740856192157
39023,-2.3271076679229736,-4.570725917816162,-323.3056640625,1,False,Wye at Bourne End Hedsor,2.2436182498931885,2.1276877875398506
39025,0.8814305067062378,0.8319385647773743,-3.026852607727051,1,False,Enborne at Brimpton,0.049491941928863525,2.1523189274246453
39027,0.1721870303153991,-3.1718978881835938,-12.105509757995605,0,False,Pang at Pangbourne,3.344084918498993,2.2447223227699977
39028,0.3498684763908386,-0.23802566528320312,-48.553489685058594,4,False,Dun at Hungerford,0.5878941416740417,2.00039068924991
39029,0.1426982283592224,-0.5516788959503174,-63.6802978515625,2,False,Tilling Bourne at Shalford,0.6943771243095398,1.7692295817365937
39034,0.8260312080383301,0.7603408098220825,-3.7545289993286133,4,False,Evenlode at Cassington Mill,0.06569039821624756,2.630570243320645
39035,0.5222203731536865,0.2929614782333374,-15.549840927124023,4,True,Churn at Cerney Wick,0.22925889492034912,2.1029479680053735
39036,-5.886982440948486,-22.640941619873047,-137.3775177001953,3,False,Law Brook at Albury,16.75395917892456,1.2060158767633447
39037,0.7237714529037476,0.3491142988204956,-0.23884975910186768,0,True,Kennet at Marlborough,0.37465715408325195,2.1349098791318784
39042,0.7545129060745239,0.6631898880004883,-45.30678939819336,1,True,Leach at Priory Mill Lechlade,0.09132301807403564,1.889917683436206
39052,0.8315863609313965,0.8313088417053223,-0.7857929468154907,2,False,The Cut at Binfield,0.00027751922607421875,1.6988831367525903
39061,0.6746384501457214,-0.31198740005493164,-42.63693618774414,1,True,Letcombe Brook at Letcombe Bassett,0.9866258502006531,0.6009728956867483
39081,0.7713233828544617,0.7482501268386841,0.025500237941741943,2,False,Ock at Abingdon,0.023073256015777588,2.3684728384403617
40003,0.8688396215438843,0.8745103478431702,-0.5520879030227661,2,False,Medway at Teston / East Farleigh,-0.005670726299285889,3.1008218389469513
40004,0.8344350457191467,0.8249536156654358,-1.2001979351043701,2,False,Rother at Udiam,0.009481430053710938,2.3109905271345785
40005,0.8641951084136963,0.8628706336021423,-0.04310166835784912,0,False,Beult at Stilebridge,0.001324474811553955,2.4441228994129194
40007,0.86278235912323,0.8645092844963074,-0.28865015506744385,3,False,Medway at Chafford / Colliers Land Bridge,-0.0017269253730773926,2.401521161385542
40009,0.787695586681366,0.7044267654418945,0.6851646304130554,2,False,Teise at Stonebridge,0.08326882123947144,2.128722284338427
