gid,nse_raw,nse_gw,nse_shuffled,d_gw,d_shuffled,well_id,dist_km,aquifer,area,frac_high_perc,gauge_name,all,chalk,chalk_matched,non_chalk,failures
34005,0.5686324238777161,0.5896124839782715,0.6529203653335571,0.02098006010055542,0.08428794145584106,TG12_7,16.93521363904217,Chalk,1.857995495560924,0.0,Tud at Costessey Park,True,False,False,True,False
34006,0.7734735608100891,0.7757622599601746,0.7721721529960632,0.0022886991500854492,-0.001301407814025879,TM17_34,10.91994436799016,Chalk,2.5752802381801962,0.0,Waveney at Needham Mill,True,False,False,True,False
34007,0.7029913067817688,0.7125184535980225,0.6932306885719299,0.009527146816253662,-0.009760618209838867,TM17_34,4.6748095148358715,Chalk,2.1441693000416664,0.0,Dove at Oakley Park,True,False,False,True,False
34008,-0.8810106515884399,-1.1361656188964844,-0.8735237121582031,-0.25515496730804443,0.007486939430236816,TG12_7,21.85973288949341,Chalk,1.647676313240871,0.0,Ant at Honing Lock,True,False,False,True,False
34010,0.6168071031570435,0.604645848274231,0.610707700252533,-0.0121612548828125,-0.006099402904510498,TM17_34,4.165607998840025,Chalk,2.176438555741045,0.0,Waveney at Billingford Bridge,True,False,False,True,False
34011,-0.19437575340270996,-0.36070942878723145,-0.2167966365814209,-0.16633367538452148,-0.022420883178710938,TF73_9,14.433728589661092,Chalk,2.21200105751229,2.7,Wensum at Fakenham,True,False,False,True,False
34012,-1.3927695751190186,-1.3918936252593994,-1.077939510345459,0.0008759498596191406,0.31483006477355957,TF73_9,11.853546642250159,Chalk,1.9236066430174592,10.48,Burn at Burnham Overy,True,False,False,True,False
35003,0.4836846590042114,0.4653029441833496,0.4679179787635803,-0.018381714820861816,-0.015766680240631104,TM17_34,28.595342085731374,Chalk,1.7977521286507108,0.0,Alde at Farnham,True,False,False,True,False
35008,0.8175605535507202,0.8258178234100342,0.8191341161727905,0.008257269859313965,0.0015735626220703125,TM17_34,20.22494588373477,Chalk,2.099887727411467,0.0,Gipping at Stowmarket,True,False,False,True,False
36003,0.7489699125289917,0.742055356502533,0.7401893138885498,-0.00691455602645874,-0.008780598640441895,TL72_54,22.623286785964588,Chalk,1.7537362221750101,0.0,Box at Polstead,True,False,False,True,False
36006,0.6091916561126709,0.6013380289077759,0.6313052177429199,-0.00785362720489502,0.022113561630249023,TL72_54,24.10146157393779,Chalk,2.7569022317166274,0.16,Stour at Langham,True,False,False,True,False
36009,0.7481012344360352,0.7556121349334717,0.7440413236618042,0.0075109004974365234,-0.004059910774230957,TL72_54,29.715367825419897,Chalk,1.4075608494863625,0.0,Brett at Cockfield,True,False,False,True,False
36010,0.7253429889678955,0.725878894329071,0.7361217737197876,0.0005359053611755371,0.01077878475189209,TL72_54,19.913953801292198,Chalk,1.440121603187804,0.0,Bumpstead Brook at Broad Green,True,False,False,True,False
36011,0.7683448791503906,0.7720673680305481,0.7733727693557739,0.0037224888801574707,0.005027890205383301,TL72_54,21.500703337332943,Chalk,1.5345337560051155,0.0,Stour Brook at Sturmer,True,False,False,True,False
36012,0.5970938205718994,0.5999468564987183,0.60740065574646,0.0028530359268188477,0.010306835174560547,TL72_54,21.78528604356619,Chalk,1.884512159190394,0.0,Stour at Kedington,True,False,False,True,False
37001,0.8005572557449341,0.7967066168785095,0.8052895069122314,-0.0038506388664245605,0.004732251167297363,TL11_9,39.79877441580331,Chalk,2.4786386315431668,0.0,Roding at Redbridge,True,False,False,True,False
37003,0.6478902101516724,0.649350643157959,0.6433879137039185,0.001460433006286621,-0.004502296447753906,TL72_54,14.454835661466374,Chalk,1.8907562519182182,0.0,Ter at Crabbs Bridge,True,False,False,True,False
37005,0.7927951812744141,0.7948697805404663,0.795752227306366,0.002074599266052246,0.0029570460319519043,TL72_54,16.456617210107307,Chalk,2.3727095303859254,0.0,Colne at Lexden,True,False,False,True,False
37008,0.779721200466156,0.7887762784957886,0.7810991406440735,0.009055078029632568,0.0013779401779174805,TL72_54,19.944032816860286,Chalk,2.2778841422402,0.0,Chelmer at Springfield,True,False,False,True,False
