,mu,sd,q90,q95,q99
28080,0.5360952019691467,0.2292591780424118,0.8659999966621399,1.0522000312805164,1.3512800073623645
28082,0.7350572347640991,0.3422492444515228,1.1269999742507935,1.488499987125393,2.147920007705687
28085,0.7698202729225159,0.2245311737060547,1.0570000410079956,1.222700035572051,1.6185699892044065
29003,0.13826604187488556,0.0690486952662468,0.22499999403953552,0.26100000739097595,0.3580000102519989
30012,0.15810802578926086,0.1174258217215538,0.28200000524520874,0.3569999933242798,0.6299999952316284
30014,0.6387302875518799,0.49553051590919495,1.0859999656677246,1.1260000467300415,1.3104799461364742
32004,0.3048137128353119,0.18694888055324554,0.531000018119812,0.7016000151634202,1.0479999780654907
33007,0.20410075783729553,0.07167011499404907,0.29899999499320984,0.33399999141693115,0.4130399882793417
33012,1.159616470336914,0.17708928883075714,1.3969999551773071,1.5429999828338623,1.8514600050449364
33014,0.41117268800735474,0.16918671131134033,0.6146000146865849,0.7398000121116631,1.0369999408721924
33018,0.31742236018180847,0.18040411174297333,0.5419999957084656,0.6790000200271606,0.9724700093269287
33019,0.2861945927143097,0.1451401710510254,0.47999998927116394,0.5690000057220459,0.7509999871253967
33021,0.17974388599395752,0.10784626007080078,0.3089999854564667,0.3779999911785126,0.5433000117540315
33022,0.33096104860305786,0.15679986774921417,0.5210000276565552,0.6481999993324269,0.9384800171852108
33023,0.09711359441280365,0.08911706507205963,0.1979999989271164,0.26499998569488525,0.45500001311302185
33024,0.18846936523914337,0.1136246845126152,0.3070000112056732,0.40579999089240953,0.6808000183105498
33028,0.32241690158843994,0.10350790619850159,0.4449999928474426,0.5339999794960022,0.7107600140571596
33031,0.19286195933818817,0.12255969643592834,0.31700000166893005,0.4009999930858612,0.7653800082206728
33032,0.10592468827962875,0.04524832218885422,0.16599999368190765,0.19300000369548798,0.23100000619888306
33033,0.1416747123003006,0.0500512570142746,0.20160000622272528,0.23800000548362732,0.3261200052499761
33034,0.28259342908859253,0.13042525947093964,0.4489000022411343,0.5360000133514404,0.7383899939060206
33039,0.49682721495628357,0.2147291898727417,0.8090000152587891,0.9755500167608254,1.2170000076293945
33053,0.22386687994003296,0.2409500926733017,0.43700000643730164,1.0,1.0240000486373901
34003,0.2875581979751587,0.0925128161907196,0.39829999804496874,0.4620000123977661,0.6079999804496765
34010,0.23775599896907806,0.11171197146177292,0.3889999985694885,0.4410000145435333,0.5820000171661377
34011,0.39409616589546204,0.13341638445854187,0.5239999890327454,0.5419999957084656,0.5950000286102295
35003,0.1747843325138092,0.08444123715162277,0.26600000262260437,0.335999995470047,0.4747800084948528
35008,0.28789418935775757,0.16026495397090912,0.4569999873638153,0.5989999771118164,0.9389199954271299
36003,0.20294316112995148,0.12056566029787064,0.3326999992132185,0.4468499988317484,0.6991399991512293
36006,0.5825884342193604,0.2532719373703003,0.9370999813079838,1.1630999922752365,1.409000039100647
36009,0.10872308909893036,0.12580488622188568,0.23399999737739563,0.3479999899864197,0.6426900106668468
36010,0.11165204644203186,0.16285806894302368,0.23999999463558197,0.367000013589859,0.7118100148439402
36011,0.19852027297019958,0.13484057784080505,0.3630000054836273,0.47600001096725464,0.7417999863624566
36012,0.3321952819824219,0.22186163067817688,0.6539999842643738,0.7749999761581421,1.097529966831208
37001,0.33111315965652466,0.21948154270648956,0.6240000128746033,0.7990000247955322,1.0978399920463526
37005,0.4306587278842926,0.2432878464460373,0.7372999846935283,0.9570000171661377,1.383929948806763
37008,0.21164827048778534,0.11726108193397522,0.33799999952316284,0.4440000057220459,0.6850000023841858
37009,0.23520289361476898,0.08793772757053375,0.34299999475479126,0.41200000047683716,0.5691300040483467
37010,0.4362630844116211,0.1569184809923172,0.6274999976158142,0.755500003695488,0.993850010633469
37011,0.27447444200515747,0.20664732158184052,0.5239999890327454,0.7179999947547913,1.1319399738311773
37018,0.18992860615253448,0.09873068332672119,0.31200000643730164,0.38499999046325684,0.5764399957656865
37019,0.19844873249530792,0.1439562439918518,0.40700000524520874,0.5180000066757202,0.7149999737739563
37020,0.22013255953788757,0.09917891025543213,0.34299999475479126,0.421999990940094,0.5695199990272526
38003,0.4819546937942505,0.11572540551424026,0.6399999856948853,0.699999988079071,0.8098200047016141
38007,0.18996506929397583,0.2190844565629959,0.45659999251365696,0.652999997138977,1.1142599749565127
38014,0.1841832995414734,0.13071757555007935,0.36000001430511475,0.46399998664855957,0.6824000179767623
38017,0.07551471143960953,0.03758629411458969,0.11999999731779099,0.1379999965429306,0.1850000023841858
38018,0.2374461144208908,0.09282483905553818,0.35100001096725464,0.41499999165534973,0.5839999914169312
38021,0.159531369805336,0.13455381989479065,0.3140000104904175,0.4271999895572651,0.7099999785423279
39001,4.591021537780762,0.15914449095726013,4.776000022888184,4.945000171661377,5.238999843597412
39010,0.20406903326511383,0.06582967191934586,0.28999999165534973,0.3330000042915344,0.4309999942779541
39011,0.2780345678329468,0.22858618199825287,0.4180000126361847,0.702349984645843,1.4819999933242798
39012,0.24704769253730774,0.10528189688920975,0.3619999885559082,0.4590499922633164,0.6840300148725517
39014,0.19613498449325562,0.09090307354927063,0.3240000009536743,0.3580000102519989,0.43763999819755495
39016,0.45270007848739624,0.20563380420207977,0.7285999774932865,0.8880000114440918,1.1649999618530273
39020,0.1747904270887375,0.07840179651975632,0.28999999165534973,0.3330000042915344,0.3930000066757202
39023,0.20239385962486267,0.056338246911764145,0.27900001406669617,0.30399999022483826,0.3729699963331216
39025,0.29612112045288086,0.21894432604312897,0.5450000166893005,0.722000002861023,1.184119987487792
39027,0.18563731014728546,0.08864285796880722,0.2919999957084656,0.3499999940395355,0.5144200015068037
39028,0.09922770410776138,0.038648828864097595,0.1550000011920929,0.1770000010728836,0.21899999678134918
39029,0.13874183595180511,0.06925420463085175,0.1809999942779541,0.24310000091791098,0.47444000780582296
39035,0.29123950004577637,0.16605660319328308,0.515999972820282,0.5690000057220459,0.6234600198268881
39036,0.07759823650121689,0.020988276228308678,0.10000000149011612,0.11100000143051147,0.16200000047683716
39037,0.1590050607919693,0.10211540013551712,0.31200000643730164,0.3724000036716458,0.44507999420166006
39042,0.18088184297084808,0.12772038578987122,0.35539999604225214,0.4300000071525574,0.6267599773407003
39052,0.23033888638019562,0.08761020749807358,0.3440000116825104,0.4090000092983246,0.5479899781942366
