gid,nse_raw,nse_norm,nse_log1p,nse_lstm,chalk,gauge_name,d_norm,d_log1p,d_lstm
27023,0.8084352016448975,0.8446967601776123,0.8385827541351318,0.8631580471992493,False,Dearne at Barnsley Weir,0.036261558532714844,0.030147552490234375,0.05472284555435181
27025,0.7981934547424316,0.8251826167106628,0.8065758943557739,0.8580214977264404,False,Rother at Woodhouse Mill,0.0269891619682312,0.008382439613342285,0.05982804298400879
27026,0.8141670227050781,0.831983745098114,0.8130431771278381,0.8665515780448914,False,Rother at Whittington,0.01781672239303589,-0.0011238455772399902,0.05238455533981323
27029,0.8871965408325195,0.8801001310348511,0.8797938823699951,0.8815565705299377,False,Calder at Elland,-0.007096409797668457,-0.007402658462524414,-0.005639970302581787
27030,0.8045716881752014,0.8499226570129395,0.8405907154083252,0.88458251953125,False,Dearne at Adwick,0.04535096883773804,0.03601902723312378,0.08001083135604858
27032,-0.0662159919738769,0.026021063327789307,0.5849782228469849,0.8155190944671631,False,Hebden Beck at Hebden,0.0922370553016662,0.6511942148208618,0.88173508644104
27034,0.8545443415641785,0.8501402139663696,0.8403997421264648,0.8566381931304932,False,Ure at Kilgram Bridge,-0.004404127597808838,-0.014144599437713623,0.0020938515663146973
27035,0.8824671506881714,0.8893547058105469,0.8825725317001343,0.8448564410209656,False,Aire at Kildwick Bridge,0.006887555122375488,0.00010538101196289062,-0.03761070966720581
27038,0.11387699842453,0.17039233446121216,0.2207319736480713,0.2643144726753235,False,Costa Beck at Gatehouses,0.05651533603668216,0.10685497522354129,0.15043747425079348
27042,0.8213276863098145,0.8211278915405273,0.8233332633972168,0.8456912040710449,False,Dove at Kirkby Mills,-0.00019979476928710938,0.0020055770874023438,0.02436351776123047
27047,0.8673909306526184,0.8614477515220642,0.8524755835533142,0.8721989393234253,False,Snaizeholme Beck at Low Houses,-0.005943179130554199,-0.0149153470993042,0.004808008670806885
27051,0.836574912071228,0.8358157873153687,0.8257482051849365,0.8774470090866089,False,Crimple at Burn Bridge,-0.000759124755859375,-0.010826706886291504,0.04087209701538086
27071,0.8172096014022827,0.8119977116584778,0.8388383388519287,0.8577926754951477,False,Swale at Crakehill,-0.005211889743804932,0.021628737449645996,0.04058307409286499
28001,0.6096096634864807,0.6054947376251221,0.663016140460968,0.6304322481155396,False,Derwent at Yorkshire Bridge,-0.004114925861358643,0.053406476974487305,0.020822584629058838
28008,0.8604312539100647,0.8697788119316101,0.8727006912231445,0.8968461751937866,False,Dove at Rocester Weir,0.00934755802154541,0.012269437313079834,0.036414921283721924
28009,0.8694016337394714,0.8876943588256836,0.9035930037498474,0.956899881362915,False,Trent at Colwick,0.018292725086212158,0.03419137001037598,0.0874982476234436
28012,0.7958291172981262,0.8132684230804443,0.8238760232925415,0.878079891204834,False,Trent at Yoxall,0.017439305782318115,0.028046905994415283,0.08225077390670776
28018,0.8836408257484436,0.8866400718688965,0.9020350575447083,0.9192726612091064,False,Dove at Marston on Dove,0.002999246120452881,0.01839423179626465,0.03563183546066284
28022,0.8340030908584595,0.8547831177711487,0.8795644640922546,0.9379520416259766,False,Trent at North Muskham,0.02078002691268921,0.045561373233795166,0.10394895076751709
28024,0.8267924785614014,0.8512404561042786,0.8548794984817505,0.8785808682441711,False,Wreake at Syston Mill,0.024447977542877197,0.02808701992034912,0.051788389682769775
28026,0.799685001373291,0.8322128057479858,0.8511195182800293,0.8329241871833801,False,Anker at Polesworth,0.032527804374694824,0.05143451690673828,0.03323918581008911
28031,0.826366126537323,0.8283852934837341,0.8121297359466553,0.840415894985199,False,Manifold at Ilam,0.002019166946411133,-0.014236390590667725,0.014049768447875977
28039,0.7208184003829956,0.731712818145752,0.7469018697738647,0.7723079323768616,False,Rea at Calthorpe Park,0.010894417762756348,0.02608346939086914,0.05148953199386597
28040,0.7892324328422546,0.828676700592041,0.8389742970466614,0.822054386138916,False,Trent at Stoke-On-Trent,0.03944426774978638,0.04974186420440674,0.03282195329666138
28043,0.8479262590408325,0.8603218197822571,0.8374385833740234,0.8604370355606079,False,Derwent at Chatsworth,0.01239556074142456,-0.010487675666809082,0.01251077651977539
28046,0.848414957523346,0.8589675426483154,0.8873897790908813,0.9112945199012756,False,Dove at Izaak Walton,0.010552585124969482,0.0389748215675354,0.06287956237792969
28048,0.7849900722503662,0.7872176170349121,0.7627179026603699,0.7943896651268005,False,Amber at Wingfield Park,0.0022275447845458984,-0.022272169589996338,0.009399592876434326
28050,0.7514420747756958,0.8000959753990173,0.7814358472824097,0.8544058799743652,False,Torne at Auckley,0.04865390062332153,0.029993772506713867,0.10296380519866943
28052,0.7686808109283447,0.7872923612594604,0.7916528582572937,0.8257945775985718,False,Sow at Great Bridgeford,0.018611550331115723,0.022972047328948975,0.05711376667022705
28067,0.8598531484603882,0.8537505269050598,0.863559901714325,0.8867205381393433,False,Derwent at Church Wilne,-0.006102621555328369,0.0037067532539367676,0.026867389678955078
28080,0.7912848591804504,0.8244831562042236,0.8047397136688232,0.8578543663024902,False,Tame at Lea Marston Lakes,0.03319829702377319,0.013454854488372803,0.0665695071220398
28082,0.8653265237808228,0.8817554116249084,0.8862881660461426,0.9099400043487548,False,Soar at Littlethorpe,0.016428887844085693,0.020961642265319824,0.04461348056793202
28085,0.905135989189148,0.901150107383728,0.9082860946655273,0.9199129343032836,False,Derwent at St Mary's Bridge,-0.003985881805419922,0.0031501054763793945,0.014776945114135631
29002,0.6888939142227173,0.7934677600860596,0.7739325165748596,0.796054482460022,True,Great Eau at Claythorpe Mill,0.10457384586334229,0.08503860235214233,0.10716056823730469
29003,0.7064652442932129,0.7948006987571716,0.8156869411468506,0.8281305432319641,True,Lud at Louth,0.08833545446395874,0.1092216968536377,0.12166529893875122
29005,0.3064011335372925,0.36188381910324097,0.29933565855026245,0.361914575099945,False,Rase at Bishopbridge,0.055482685565948486,-0.007065474987030029,0.05551344156265253
30001,0.8384559750556946,0.8747307062149048,0.8835318088531494,0.908705711364746,False,Witham at Claypole Mill,0.036274731159210205,0.045075833797454834,0.0702497363090514
30004,0.6556258797645569,0.7588796615600586,0.7427672743797302,0.7877292037010193,False,Lymn at Partney Mill,0.10325378179550171,0.08714139461517334,0.1321033239364624
30005,0.7766292095184326,0.8014388084411621,0.8336406946182251,0.8409499526023865,True,Witham at Saltersford Total,0.024809598922729492,0.05701148509979248,0.06432074308395386
30011,0.7962015867233276,0.7864447832107544,0.7075663208961487,0.7438296675682068,False,Bain at Goulceby Bridge,-0.009756803512573242,-0.08863526582717896,-0.05237191915512085
30012,0.7557295560836792,0.7852463722229004,0.7418949604034424,0.8046677112579346,False,Stainfield Beck at Cream Poke Farm,0.02951681613922119,-0.013834595680236816,0.04893815517425537
