,gain,mean_donor_km
28031,0.1038714051246642,10.001625699321247
28039,0.11785620450973511,13.260237629959079
28040,0.08208256959915161,22.077582726626293
28043,0.07543039321899425,13.4654995090222
28046,0.03723883628845215,10.182421169436346
28048,0.08454596996307373,14.835437338578748
28050,0.05284613370895386,11.58718075330273
28052,-0.015114545822143555,23.83227883033001
28067,0.056819379329681396,11.793001221537319
28080,0.05282759666442871,7.471818885017725
28082,0.039361536502838024,17.663280006495796
28085,0.04139012098312367,10.944222027170774
29002,0.07832294702529907,13.49591163517376
29003,0.11180567741394043,15.14173923037454
29005,0.06452065706253052,15.924975589223266
30001,0.05754387378692627,14.657222942012154
30004,0.10219687223434448,17.563653957615934
30005,0.09518003463745117,9.729129976587494
30011,0.05748707056045532,14.195457298234421
30012,0.05439680814743042,16.439098656226907
30014,0.049033403396606445,17.942342885231028
31002,0.10905200242996216,14.30229827361972
31006,0.23424839973449713,11.928289110196511
31010,0.09984982013702393,12.446546387135378
31021,0.04028487205505371,17.683484031917917
31023,0.1298956274986267,10.436083222408
32003,0.06629520654678345,18.521205848702415
32004,0.04636049270629883,18.476394625699715
32006,0.0626577138900758,13.847959808690378
32008,0.06630915403366089,17.754780091241614
33006,0.03671741485595703,12.525883503562342
33007,0.08933943510055542,13.840974604286224
33012,0.03365856409072876,8.972606211166147
33013,0.3088172674179077,8.751504482456419
33014,0.054776787757873535,13.112915854374089
33018,0.06081283092498779,14.848220341777145
33019,0.12059932947158813,7.739245238008724
33021,0.06882083415985107,11.89965531131512
33022,0.046636343002319336,8.83776564818853
33023,-0.3336142301559448,18.423249737132142
33024,0.18907415866851807,10.069907747119537
33026,0.10897749662399292,8.886527812349723
33028,0.04884791374206543,10.297225678775789
33029,0.04159665107727051,10.357532386153009
33031,0.16767048835754395,17.627923217221365
33032,0.1941034197807312,17.851624646354413
33033,0.06415075063705444,11.464863004605272
33034,0.14940756559371948,8.223892476499946
33035,0.0032808780670166016,16.384747691263158
33039,0.08794337511062622,8.859855764867818
33053,0.16282033920288086,10.086218403568635
34002,0.11617004871368408,15.207232286436303
34003,0.2652157545089722,16.520240487162752
34004,0.014669001102447454,10.931421211351617
34005,0.23483949899673462,11.083820078813963
34006,0.08522176742553711,10.587456391847544
34007,0.08860903978347778,10.191716327702329
34008,1.0814167261123657,19.25204359934037
34010,-0.00019234418869018555,10.02080254452041
34011,0.7227135896682739,21.514415777390088
34012,1.1036791801452637,18.612711279195832
35003,0.09359538555145264,25.437585817656824
35008,0.09967011213302623,19.725962064338884
36003,0.05671447515487671,11.085051779299846
36006,0.07497620582580566,12.04645242376286
36009,0.10858714580535889,17.584087359133274
36010,0.17623168230056774,8.51455107925817
36011,0.13570272922515858,8.57259793017934
36012,0.08393490314483643,9.028012860698086
37001,-0.08527624607086182,10.318879910585782
37003,0.08815586566925049,6.987713533397881
37005,0.11879408359527599,12.595972123538836
37008,0.04362219572067261,11.354371983805207
37009,0.05016285181045532,6.969597842429174
37010,0.06346744298934937,8.758626210285327
37011,0.03937554359436035,13.716376407934312
37018,0.09559094905853271,9.962428694079696
37019,0.09365946054458618,8.329992110495539
37020,0.11936312913894653,11.04806144445218
38001,0.07987874746322632,6.913324930768851
38003,0.17192870378494252,5.306879885272394
38007,-0.014133751392364502,7.032864391814741
38014,0.13899487257003773,9.107297190301411
38017,0.7153134346008301,12.62256540705152
38018,0.075009286403656,5.6470681906201134
38021,0.09866183996200562,9.249886551028654
39001,-0.08053946495056152,8.38713386422814
39006,0.008800864219665527,8.972166173216262
39007,0.02956700325012207,7.973811835045322
39010,0.5714279413223267,11.910604895483303
39011,0.11619234085083008,11.613787231718481
39012,0.07369256019592285,8.406989051652202
39014,1.5877230167388916,14.047814407524484
39016,0.09136617183685303,8.35516575459316
39020,0.05010056495666493,10.054095828867922
39021,0.3325721621513367,12.551687259521819
39022,0.021524131298065186,7.773023795550597
39023,0.9443178176879883,14.751063910536821
39025,-0.02892380952835083,11.358707650617049
39027,0.22333103418350223,11.233170548160333
39028,0.010929465293884277,15.323125613497405
39029,0.10496938228607178,11.468418874809707
39034,0.07811921834945668,6.541273329638493
39035,0.04482853412628174,7.095320602069516
39036,2.623785972595215,12.023887129995872
39037,0.06619656085968018,13.655808011351729
39042,0.09077709913253784,13.275078233702358
39052,0.007815182209014893,14.17245949311601
39061,0.019855022430419922,16.651791595752503
39081,0.08693456649780273,11.921875500671781
40003,0.037435829639434925,9.597161570091027
40004,0.01833266019821167,10.071722231069838
40005,0.021518230438232422,9.636563536680384
40007,0.060930192470550426,7.225307345929671
40009,0.05533599853515625,11.61969573581566
40010,-0.031522393226623535,7.619380132847186
40011,0.03301924467086792,32.93079769482372
40012,-0.022815585136413574,8.844353727413788
40013,0.04617875814437866,11.136159326375264
40016,-0.021920442581176702,8.739031609698607
40018,0.04390609264373779,8.071607492335707
41001,0.1253106594085694,5.131709207998838
41003,0.041428327560424805,11.815097428801328
41005,0.023384511470794678,5.225375600519464
41006,0.14311152696609497,4.40483718237851
41011,0.04716634750366211,11.160138325974188
41012,0.07636427879333496,12.267124783995639
41013,0.08703398704528809,5.687883329404241
41014,-0.010560393333435059,8.272526840658275
41016,0.11495381593704213,5.246687259116964
41019,0.0354955792427063,11.331767177028233
41020,0.09007501602172852,3.846439699130498
41022,0.05034118890762329,10.228379449976636
41023,0.057286977767944336,16.496265611945166
41025,0.03560751676559448,9.15188030663924
41027,0.10343813896179199,14.925013868110108
41028,0.05148029327392578,12.625990835261172
42001,0.10586869716644287,9.622808184618272
42003,-0.021627187728881836,18.857070637087517
42004,0.10969245433807373,15.200752754897122
42006,0.014142274856567383,9.175515066395922
42008,0.060975074768066406,13.366159461576041
42010,0.074099600315094,10.702098208065815
42011,0.01311182975769043,8.434705938442638
