gid,persist2_L1,persist2_L1_cov,ar_perfect2_L1,ar_perfect2_L1_cov,ar_gefs_L1,ar_gefs_L1_cov,persist2_L2,persist2_L2_cov,ar_perfect2_L2,ar_perfect2_L2_cov,ar_gefs_L2,ar_gefs_L2_cov,persist2_L3,persist2_L3_cov,ar_perfect2_L3,ar_perfect2_L3_cov,ar_gefs_L3,ar_gefs_L3_cov
17003,0.3628057837486267,0.37965941429138184,0.8248189091682434,0.8202396035194397,0.583241879940033,0.6002581119537354,0.024939298629760742,0.03778409957885742,0.7974717020988464,0.7881214618682861,0.3801293969154358,0.4238513112068176,-0.1330190896987915,-0.11273849010467529,0.7931457161903381,0.7881304621696472,0.3129434585571289,0.3620752692222595
17005,0.4020289182662964,0.40886640548706055,0.888519287109375,0.8888786435127258,0.7435163259506226,0.7675846815109253,0.0158727765083313,0.0349767804145813,0.867440938949585,0.866641104221344,0.45744675397872925,0.5100730657577515,-0.15002930164337158,-0.12192654609680176,0.8626299500465393,0.8620744943618774,0.3833044171333313,0.43892067670822144
18001,0.33233368396759033,0.3341633677482605,0.8148096799850464,0.8141016364097595,0.7220064401626587,0.7446233034133911,0.00920039415359497,0.011192142963409424,0.7791894674301147,0.7770262360572815,0.4854733943939209,0.5172033905982971,-0.12661433219909668,-0.12863051891326904,0.7772687673568726,0.7749139070510864,0.4310223460197449,0.4676157236099243
18002,0.5090140104293823,0.5245475769042969,0.8263291120529175,0.8311759233474731,0.798987865447998,0.8180580735206604,0.10401087999343872,0.13515454530715942,0.7689204812049866,0.7678347229957581,0.5093463659286499,0.5607548952102661,-0.09796464443206787,-0.06377363204956055,0.7581672072410583,0.7544543743133545,0.40860533714294434,0.45968979597091675
18003,0.818098783493042,0.819729745388031,0.9358574748039246,0.9360855221748352,0.9041910171508789,0.9088521003723145,0.5579538345336914,0.5598931312561035,0.8994123339653015,0.8965298533439636,0.6942571401596069,0.708011269569397,0.345364511013031,0.3457374572753906,0.8713460564613342,0.866872251033783,0.5335589647293091,0.5570614337921143
19001,0.36413413286209106,0.3584761619567871,0.8622179627418518,0.8656613230705261,0.7579026818275452,0.7702471017837524,-0.02421581745147705,-0.032448410987854004,0.8420583009719849,0.8426432609558105,0.436079204082489,0.4674116373062134,-0.19361567497253418,-0.1922065019607544,0.8399244546890259,0.8415369391441345,0.3359643220901489,0.3662334084510803
19006,0.5266522169113159,0.5143445730209351,0.8674153089523315,0.8653011322021484,0.7104359269142151,0.7138828039169312,0.20995205640792847,0.1906203031539917,0.8454272747039795,0.842822253704071,0.47343724966049194,0.48666560649871826,0.049398720264434814,0.03586691617965698,0.8340069651603699,0.8322672247886658,0.4082733988761902,0.42774927616119385
19010,0.592877984046936,0.5887205004692078,0.7287941575050354,0.7284728288650513,0.49812620878219604,0.4846763014793396,0.34622031450271606,0.33337634801864624,0.6544156074523926,0.6546056270599365,0.42245495319366455,0.4159521460533142,0.27058714628219604,0.26263636350631714,0.6668875813484192,0.6624921560287476,0.3897325396537781,0.3884294629096985
20002,0.5904383659362793,0.5863755941390991,0.8298587203025818,0.828348696231842,0.7975765466690063,0.7957464456558228,0.20489197969436646,0.19608962535858154,0.7480698823928833,0.7448301315307617,0.5286962985992432,0.5254426002502441,0.018204867839813232,0.009097814559936523,0.7370296716690063,0.7336962223052979,0.4335651993751526,0.4301859736442566
20003,0.3762362599372864,0.3676512837409973,0.784528911113739,0.7818669080734253,0.6924426555633545,0.6899168491363525,-0.03142595291137695,-0.046434640884399414,0.7377557754516602,0.7333943843841553,0.38160276412963867,0.37853729724884033,-0.21407854557037354,-0.22593951225280762,0.7228102684020996,0.7189871072769165,0.3731650710105896,0.3746551275253296
20007,0.4726654887199402,0.4627893567085266,0.8212164640426636,0.8181015253067017,0.6901413202285767,0.6854349374771118,0.09699273109436035,0.080746591091156,0.7786896228790283,0.7744064331054688,0.47411710023880005,0.4686781167984009,-0.05916714668273926,-0.07560884952545166,0.7550899386405945,0.7504867315292358,0.4574456214904785,0.4541006088256836
21003,0.586876630783081,0.5799704790115356,0.899617075920105,0.8980675935745239,0.8545042276382446,0.857345461845398,0.3151630163192749,0.31060463190078735,0.8664311170578003,0.8645687699317932,0.6139959096908569,0.6273964643478394,0.20619738101959229,0.2043060064315796,0.8634735345840454,0.861438512802124,0.5102297067642212,0.5259090065956116
21006,0.5730347633361816,0.5819978713989258,0.890935480594635,0.8954166173934937,0.8503803610801697,0.8616552948951721,0.28064030408859253,0.30206596851348877,0.8521747589111328,0.8585849404335022,0.5864510536193848,0.6124424934387207,0.15857380628585815,0.18314647674560547,0.8417253494262695,0.8468844890594482,0.48941707611083984,0.5166839361190796
21008,0.4102039933204651,0.4179033041000366,0.8620502948760986,0.8632076382637024,0.789807915687561,0.8041689395904541,0.06459438800811768,0.07955223321914673,0.8358389735221863,0.8405303955078125,0.4778926372528076,0.5081124901771545,-0.06760764122009277,-0.04859614372253418,0.8275735378265381,0.8333479762077332,0.4048451781272888,0.43447959423065186
21009,0.6201459765434265,0.6296610832214355,0.9225881695747375,0.9258492588996887,0.9098038673400879,0.9164219498634338,0.3263600468635559,0.337435245513916,0.8914927244186401,0.8933871388435364,0.6019773483276367,0.6195887327194214,0.18428856134414673,0.1973569393157959,0.8769314289093018,0.8765100836753845,0.5037030577659607,0.5227192044258118
21011,0.6053792238235474,0.6273579001426697,0.8633648157119751,0.8626445531845093,0.8038091659545898,0.8258528709411621,0.2527619004249573,0.3046833872795105,0.7994037866592407,0.8058558702468872,0.5416765213012695,0.5855551958084106,0.09301984310150146,0.15514349937438965,0.7726545333862305,0.7813191413879395,0.44615304470062256,0.4881511926651001
21012,0.332281231880188,0.33841633796691895,0.8603029251098633,0.8663153648376465,0.6774985194206238,0.7042495608329773,0.010507762432098389,0.03289198875427246,0.8482701778411865,0.858343780040741,0.42110806703567505,0.4502623677253723,-0.1017221212387085,-0.08045923709869385,0.8394069671630859,0.8472954034805298,0.328627347946167,0.357421875
