gid,tree,lstm_e16,nowcast,q99_halfwidth,extrap_dur,peak_beyond_gauged
38018,-1.0651678,0.17316341,9.367741,9.445,0.09,True
38021,-16.962454,-15.5870285,-20.05003,14.469999999999999,0.0,False
39001,2.26475,0.46364665,4.102969,,0.04,True
39006,1.5043201,-6.1708956,2.2246718,,0.7,True
39007,-15.073957,-18.165823,-9.520182,,0.03,False
39010,99.0253,4.932374,44.814484,,0.02,True
39011,-21.20514,-33.04988,-5.578476,12.745000000000001,0.29,True
39012,-42.340668,-34.202694,-36.002842,16.305,0.0,False
39014,234.73767,-4.5618324,78.43716,,0.18,False
39016,34.598583,9.52971,32.683437,9.350000000000001,0.0,False
39020,18.030327,-7.9941897,14.623004,11.165,0.01,True
39021,54.85862,-10.581416,3.3827634,9.780000000000001,0.01,False
39022,-27.658092,-15.9265785,-19.021793,21.130000000000003,,False
39023,124.96712,7.075411,101.866135,8.49,0.16,False
39025,-15.420932,-20.445955,-34.417587,29.095,3.8,True
39027,87.72189,-3.3412275,48.504837,19.095,0.48,True
39028,126.76123,12.595654,87.45723,,0.65,True
39029,17.302776,-27.510307,-2.2070944,25.885,0.01,False
39034,6.5907717,6.1912003,-7.422194,9.605,0.56,True
39035,16.80128,-2.8716505,24.63935,11.885,0.0,False
39036,97.98923,-17.6085,62.62599,22.345,0.0,False
39037,16.672396,-16.724773,-14.254108,9.36,0.17,True
39042,26.636189,-0.042518973,10.574167,13.575,0.03,False
39052,-25.026245,-21.461357,-21.788948,21.66,0.12,True
39061,-18.138123,-26.880455,-23.254925,,,False
39081,16.557915,26.69142,5.6171,15.395,1.11,True
40003,-5.205977,-15.765429,-9.300626,,0.01,True
40004,-28.48615,-23.477077,-17.378567,10.305,0.03,True
40005,-13.193373,-20.598988,-15.41062,,0.01,True
40007,-21.713871,-14.465641,-16.638329,,0.0,False
40009,-7.4611187,-14.072344,-1.7844081,9.42,0.01,False
40010,-13.9309025,-16.634575,-13.7640915,,32.8,True
40011,-4.4944196,2.745062,-9.188,9.125,0.0,False
40012,24.676723,-14.184343,39.486046,,0.0,False
40013,-47.079636,-52.634953,-53.132313,,,False
40016,-25.96101,-48.312035,-16.524082,,5.08,True
40018,-9.748623,-27.820637,3.3262908,,0.01,True
41001,-64.92108,-61.528954,-42.944263,,,False
41003,-25.35519,-35.12503,-20.077347,,,False
41005,-13.29287,-5.793577,-1.8185139,14.205,0.0,False
41006,-48.15042,-43.86561,-28.188908,,0.01,False
41011,-31.13639,-30.880142,-18.319038,,3.52,True
41012,-37.531597,-30.511738,-25.41396,,0.87,True
41013,-37.511448,-39.64198,-17.525894,,,False
41014,12.870777,19.021915,10.981453,,1.08,True
41016,-39.085323,-44.77166,-16.404793,7.215,0.01,False
41019,-15.577093,-7.0211234,-17.509583,,,False
41020,-26.530022,-22.565136,-19.579544,9.475,0.0,False
41022,-21.520916,-24.585049,-18.22486,,0.07,True
41023,54.395622,-2.225831,68.15727,10.575,0.0,False
41025,-24.933382,-16.269117,-19.734848,,,False
41027,-47.522533,-51.172905,-27.143883,9.68,,False
41028,-18.478436,-25.935482,-20.122139,,,False
