source,threshold,bin,n,forecast_p,observed
ladder_memmax,q99,0.6,1582,0.6444756556633014,0.2806573957016435
ladder_memmax,q99,0.7,788,0.7431064285385277,0.33883248730964466
ladder_memmax,q99,0.8,357,0.8436520851365265,0.3641456582633053
ladder_memmax,q99,0.9,339,0.9797535660315363,0.4277286135693215
ladder_composite,q99,0.0,514538,0.005937480523347396,0.003795638028678154
ladder_composite,q99,0.1,27690,0.14367361874237408,0.06395810762007945
ladder_composite,q99,0.2,6222,0.22723962362133973,0.1915782706525233
ladder_composite,q99,0.3,1030,0.34581047807190646,0.34757281553398056
ladder_composite,q99,0.4,717,0.4451960795877769,0.43375174337517436
ladder_composite,q99,0.5,385,0.5421476128657075,0.5116883116883116
ladder_composite,q99,0.6,183,0.6470799692829888,0.5519125683060109
ladder_composite,q99,0.7,79,0.7381993114863589,0.6708860759493671
ladder_composite,q99,0.9,108,0.9843621583107434,0.7777777777777778
ladder_ens_recal,q99,0.0,537272,0.006247153498544088,0.0055725963757649755
ladder_ens_recal,q99,0.1,6971,0.13701583948255422,0.13484435518576962
ladder_ens_recal,q99,0.2,3630,0.2354014745783186,0.228099173553719
ladder_ens_recal,q99,0.3,607,0.3445092891355155,0.26359143327841844
ladder_ens_recal,q99,0.4,1270,0.44698788874971696,0.3661417322834646
ladder_ens_recal,q99,0.5,282,0.5181961514599033,0.43617021276595747
ladder_ens_recal,q99,0.6,601,0.6662527421592177,0.5008319467554077
ladder_ens_recal,q99,0.7,148,0.7580352210570002,0.5675675675675675
ladder_ens_recal,q99,0.8,219,0.8505133535867192,0.7123287671232876
