source,threshold,bin,n,forecast_p,observed
ladder_composite,q99,0.5,762,0.5470960846495357,0.6377952755905512
ladder_composite,q99,0.6,582,0.6465157375491863,0.7336769759450171
ladder_composite,q99,0.7,417,0.7457759080096017,0.829736211031175
ladder_composite,q99,0.8,255,0.8463345777692768,0.9137254901960784
ladder_composite,q99,0.9,694,0.9873496281173044,0.9135446685878963
ladder_ens_recal,q99,0.0,537695,0.002802917034679866,0.0025572118022298886
ladder_ens_recal,q99,0.1,6389,0.1367100950825373,0.12114571920488339
ladder_ens_recal,q99,0.2,1461,0.24397902925736953,0.21218343600273784
ladder_ens_recal,q99,0.3,1876,0.3365826389690902,0.2937100213219616
ladder_ens_recal,q99,0.4,604,0.4329280216856546,0.42549668874172186
ladder_ens_recal,q99,0.5,1398,0.5682599262903281,0.5050071530758226
ladder_ens_recal,q99,0.6,206,0.6855616450821369,0.587378640776699
ladder_ens_recal,q99,0.7,500,0.7650450531979945,0.672
ladder_ens_recal,q99,0.8,983,0.8642893236113088,0.7833163784333672
ladder_ens_recal,q99,0.9,923,0.9152524506858348,0.9122426868905742
