gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now,nse_ung_sim,pen_sim,nse_ung_trust,pen_trust
27026,0.8141670227050781,0.8009313941001892,0.8920808434486389,False,Rother at Whittington,0.0132356286048889,-0.0779138207435607,0.8957971930503845,-0.0816301703453064,0.8867270350456238,-0.07256001234054565
27029,0.8871965408325195,0.8731372356414795,0.9184532761573792,False,Calder at Elland,0.01405930519104,-0.0312567353248596,0.9272152185440063,-0.0400186777114868,0.9106027483940125,-0.02340620756149292
27030,0.8045716881752014,0.7339254021644592,0.873879611492157,False,Dearne at Adwick,0.0706462860107421,-0.0693079233169555,0.887273907661438,-0.0827022194862365,0.8924434185028076,-0.0878717303276062
27032,-0.0662159919738769,-23.058687210083008,-19.98299598693848,False,Hebden Beck at Hebden,22.99247121810913,19.9167799949646,-22.041645050048828,21.97542905807495,-21.997766494750977,21.9315505027771
27034,0.8545443415641785,0.8383060097694397,0.875593364238739,False,Ure at Kilgram Bridge,0.0162383317947387,-0.0210490226745605,0.8587539196014404,-0.0042095780372619,0.8382598757743835,0.016284465789794922
27035,0.8824671506881714,0.8617637157440186,0.8469439744949341,False,Aire at Kildwick Bridge,0.0207034349441528,0.0355231761932373,0.8304906487464905,0.0519765019416809,0.8396679162979126,0.04279923439025879
27038,0.11387699842453,-5.5205841064453125,-5.507950782775879,False,Costa Beck at Gatehouses,5.6344611048698425,5.621827781200409,-5.7145514488220215,5.828428447246552,-5.904688358306885,6.018565356731415
27042,0.8213276863098145,0.7783956527709961,0.7383502721786499,False,Dove at Kirkby Mills,0.0429320335388183,0.0829774141311645,0.7225834131240845,0.0987442731857299,0.7385513782501221,0.08277630805969238
27047,0.8673909306526184,0.7695649862289429,0.8698865175247192,False,Snaizeholme Beck at Low Houses,0.0978259444236755,-0.0024955868721008,0.8729854226112366,-0.0055944919586181,0.8709172010421753,-0.0035262703895568848
27051,0.836574912071228,0.7841155529022217,0.719417929649353,False,Crimple at Burn Bridge,0.0524593591690063,0.117156982421875,0.7440248727798462,0.0925500392913818,0.7468322515487671,0.08974266052246094
27071,0.8172096014022827,0.7791506052017212,0.8209139108657837,False,Swale at Crakehill,0.0380589962005615,-0.0037043094635009,0.8234013319015503,-0.0061917304992675,0.8013260364532471,0.015883564949035645
28001,0.6096096634864807,0.1982194185256958,0.238444447517395,False,Derwent at Yorkshire Bridge,0.4113902449607849,0.3711652159690857,0.2382700443267822,0.3713396191596985,0.2792627215385437,0.330346941947937
28008,0.8604312539100647,0.8144131898880005,0.8953527212142944,False,Dove at Rocester Weir,0.0460180640220642,-0.0349214673042297,0.8828601241111755,-0.0224288702011108,0.9133224487304688,-0.05289119482040405
28009,0.8694016337394714,0.8696532249450684,0.8191012144088745,False,Trent at Colwick,-0.0002515912055969,0.0503004193305969,0.8412749767303467,0.0281266570091247,0.8557892441749573,0.01361238956451416
28012,0.7958291172981262,0.7878978252410889,0.7620997428894043,False,Trent at Yoxall,0.0079312920570373,0.0337293744087219,0.7675034999847412,0.028325617313385,0.7598394155502319,0.03598970174789429
28018,0.8836408257484436,0.8625267744064331,0.8749797940254211,False,Dove at Marston on Dove,0.0211140513420104,0.0086610317230224,0.8841954469680786,-0.000554621219635,0.8610724806785583,0.022568345069885254
28022,0.8340030908584595,0.8246353268623352,0.8235281705856323,False,Trent at North Muskham,0.0093677639961242,0.0104749202728271,0.8269694447517395,0.0070336461067199,0.7802827954292297,0.053720295429229736
28024,0.8267924785614014,0.8247188329696655,0.8716471195220947,False,Wreake at Syston Mill,0.0020736455917358,-0.0448546409606933,0.8841539025306702,-0.0573614239692688,0.8777825832366943,-0.05099010467529297
28026,0.799685001373291,0.7635908126831055,0.634297251701355,False,Anker at Polesworth,0.0360941886901855,0.165387749671936,0.6241256594657898,0.1755593419075012,0.625579833984375,0.17410516738891602
28031,0.826366126537323,0.767329216003418,0.8420473337173462,False,Manifold at Ilam,0.059036910533905,-0.0156812071800231,0.8000261187553406,0.0263400077819824,0.7532497644424438,0.07311636209487915
28039,0.7208184003829956,0.415423035621643,0.6568460464477539,False,Rea at Calthorpe Park,0.3053953647613526,0.0639723539352417,0.7093502283096313,0.0114681720733642,0.679404616355896,0.04141378402709961
28040,0.7892324328422546,0.6334701776504517,0.7463430762290955,False,Trent at Stoke-On-Trent,0.1557622551918029,0.0428893566131591,0.7137739658355713,0.0754584670066833,0.7256397008895874,0.06359273195266724
28043,0.8479262590408325,0.8120216131210327,0.873077929019928,False,Derwent at Chatsworth,0.0359046459197998,-0.0251516699790954,0.8672411441802979,-0.0193148851394653,0.8506810665130615,-0.002754807472229004
28046,0.848414957523346,0.6466180682182312,0.5509886741638184,False,Dove at Izaak Walton,0.2017968893051147,0.2974262833595276,0.5036119222640991,0.3448030352592468,0.4741283655166626,0.37428659200668335
28048,0.7849900722503662,0.7693317532539368,0.8443925380706787,False,Amber at Wingfield Park,0.0156583189964294,-0.0594024658203125,0.858418881893158,-0.0734288096427917,0.8425840735435486,-0.05759400129318237
28050,0.7514420747756958,0.6630814075469971,0.7519015073776245,False,Torne at Auckley,0.0883606672286987,-0.0004594326019287,0.8022713661193848,-0.0508292913436889,0.7889998555183411,-0.037557780742645264
28052,0.7686808109283447,0.766804039478302,0.6052075624465942,False,Sow at Great Bridgeford,0.0018767714500427,0.1634732484817505,0.645219087600708,0.1234617233276367,0.6122092008590698,0.1564716100692749
28067,0.8598531484603882,0.8556410670280457,0.8922252058982849,False,Derwent at Church Wilne,0.0042120814323425,-0.0323720574378967,0.8916463851928711,-0.0317932367324829,0.9096339344978333,-0.04978078603744507
28080,0.7912848591804504,0.1869232058525085,0.2208166718482971,False,Tame at Lea Marston Lakes,0.6043616533279419,0.5704681873321533,0.1038996577262878,0.6873852014541626,0.21848124265670776,0.5728036165237427
28082,0.8653265237808228,0.8633043169975281,0.9098793268203736,False,Soar at Littlethorpe,0.0020222067832946,-0.0445528030395507,0.908337414264679,-0.0430108904838562,0.9108580350875854,-0.045531511306762695
28085,0.905135989189148,0.9055098295211792,0.9273350238800048,False,Derwent at St Mary's Bridge,-0.0003738403320312,-0.0221990346908569,0.9283978939056396,-0.0232619047164917,0.915928065776825,-0.010792076587677002
