gid,persistence_L1,weather_L1,ar_L1,ar_donor_L1,ar_perfect_L1,persistence_L2,ar_donor_L2,persistence_L3,ar_donor_L3
16003,0.023075759410858154,0.4087868928909302,0.4205518364906311,0.4349716901779175,0.7673903703689575,-0.2667158842086792,0.208335280418396,-0.3897901773452759,0.16703248023986816
16004,0.6816526651382446,0.8538007736206055,0.8742351531982422,0.8753843307495117,0.9200721979141235,0.4612000584602356,0.6067183613777161,0.34833425283432007,0.5203192830085754
17001,0.416748583316803,0.5994516611099243,0.6202836036682129,0.628242015838623,0.8259890079498291,0.06482124328613281,0.36432403326034546,-0.1203148365020752,0.2840232849121094
17003,0.3628057837486267,0.5272930860519409,0.5674397945404053,0.5762314200401306,0.8248189091682434,0.024939298629760742,0.30245208740234375,-0.1330190896987915,0.2542320489883423
17005,0.4020289182662964,0.6913580894470215,0.7101669311523438,0.711590051651001,0.888519287109375,0.0158727765083313,0.3408393859863281,-0.15002930164337158,0.27488821744918823
18001,0.33233368396759033,0.6317614316940308,0.6550053358078003,0.6580157279968262,0.8148096799850464,0.00920039415359497,0.3517606854438782,-0.12661433219909668,0.2857983112335205
18002,0.5090140104293823,0.7401126623153687,0.7868673801422119,0.783746600151062,0.8263291120529175,0.10401087999343872,0.39715486764907837,-0.09796464443206787,0.2984389662742615
18003,0.818098783493042,0.8552860617637634,0.8887916803359985,0.8907471895217896,0.9358574748039246,0.5579538345336914,0.6737281084060669,0.345364511013031,0.5176452994346619
19001,0.36413413286209106,0.7007070779800415,0.7303067445755005,0.7270019054412842,0.8622179627418518,-0.02421581745147705,0.3301704525947571,-0.19361567497253418,0.24779784679412842
19006,0.5266522169113159,0.6697663068771362,0.7034873962402344,0.7039570808410645,0.8674153089523315,0.20995205640792847,0.4261200428009033,0.049398720264434814,0.3483293056488037
19010,0.592877984046936,0.4762646555900574,0.638126790523529,0.6749982833862305,0.7287941575050354,0.34622031450271606,0.5175294876098633,0.27058714628219604,0.4919695258140564
20002,0.5904383659362793,0.683923602104187,0.7757936120033264,0.7739160060882568,0.8298587203025818,0.20489197969436646,0.44873660802841187,0.018204867839813232,0.35680055618286133
20003,0.3762362599372864,0.640052080154419,0.6506659388542175,0.648999035358429,0.784528911113739,-0.03142595291137695,0.2921949625015259,-0.21407854557037354,0.22795337438583374
20007,0.4726654887199402,0.6472651958465576,0.6756821870803833,0.6685857772827148,0.8212164640426636,0.09699273109436035,0.35622459650039673,-0.05916714668273926,0.31852787733078003
21003,0.586876630783081,0.7894276976585388,0.8168221712112427,0.8244513273239136,0.899617075920105,0.3151630163192749,0.5177514553070068,0.20619738101959229,0.43906962871551514
21006,0.5730347633361816,0.7997239232063293,0.8210945129394531,0.829129159450531,0.890935480594635,0.28064030408859253,0.5021374821662903,0.15857380628585815,0.4181118607521057
21008,0.4102039933204651,0.7134742736816406,0.7421605587005615,0.7431234121322632,0.8620502948760986,0.06459438800811768,0.39134353399276733,-0.06760764122009277,0.3235986828804016
21009,0.6201459765434265,0.8867672681808472,0.9095662832260132,0.909745454788208,0.9225881695747375,0.3263600468635559,0.5677096843719482,0.18428856134414673,0.4584086537361145
21011,0.6053792238235474,0.703255295753479,0.762178361415863,0.7707467675209045,0.8633648157119751,0.2527619004249573,0.4651872515678406,0.09301984310150146,0.36611783504486084
21012,0.332281231880188,0.6009451746940613,0.6085132360458374,0.6156390905380249,0.8603029251098633,0.010507762432098389,0.3507034182548523,-0.1017221212387085,0.2962256669998169
21013,0.5669447183609009,0.7293499112129211,0.7653793096542358,0.7652596831321716,0.836959719657898,0.2862641215324402,0.47940701246261597,0.13463133573532104,0.4011097550392151
21015,0.39979857206344604,0.6107263565063477,0.6557942032814026,0.6540735960006714,0.8021608591079712,0.08155828714370728,0.3608974814414978,-0.09394192695617676,0.30359095335006714
21016,0.43980085849761963,0.6404258012771606,0.6900522708892822,0.6900785565376282,0.8374594449996948,0.07494920492172241,0.36249756813049316,-0.12074172496795654,0.28548580408096313
21017,0.045793771743774414,0.3969244956970215,0.4076419472694397,0.41787564754486084,0.8043540120124817,-0.2889155149459839,0.19935917854309082,-0.38096654415130615,0.1651328206062317
21018,0.5675735473632812,0.733407199382782,0.7885585427284241,0.7964746952056885,0.8640652894973755,0.2435864806175232,0.4841480851173401,0.10480540990829468,0.40262460708618164
21022,0.3320434093475342,0.6968485116958618,0.7248272895812988,0.7226575613021851,0.8148414492607117,-0.0421825647354126,0.3293291926383972,-0.21849429607391357,0.26341378688812256
21023,0.20731830596923828,0.49470919370651245,0.567573606967926,0.5633501410484314,0.589586615562439,-0.2698420286178589,0.2307267189025879,-0.40639710426330566,0.1788683533668518
21024,0.1986514925956726,0.5279621481895447,0.5597492456436157,0.5653069019317627,0.8245562314987183,-0.18572628498077393,0.2596305012702942,-0.31335604190826416,0.22354942560195923
22001,0.4172394871711731,0.7403416633605957,0.7777214646339417,0.7782721519470215,0.8730002641677856,-0.013769268989562988,0.3568230867385864,-0.20334136486053467,0.2668073773384094
