gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now
17005,0.8797832727432251,0.8657076358795166,0.8870733380317688,False,Avon at Polmonthill,0.014075636863708496,-0.007290065288543701
18001,0.7996048927307129,0.7874693274497986,0.833778440952301,False,Allan Water at Kinbuck,0.012135565280914307,-0.034173548221588135
18002,0.7832297086715698,0.7838183641433716,0.7956286072731018,False,Devon at Glenochil,-0.0005886554718017578,-0.012398898601531982
18003,0.8844290971755981,0.8385151624679565,0.8859687447547913,False,Teith at Bridge of Teith,0.0459139347076416,-0.0015396475791931152
19001,0.8453986644744873,0.8285738229751587,0.8444033861160278,False,Almond at Craigiehall,0.016824841499328613,0.0009952783584594727
19006,0.843696653842926,0.8363524675369263,0.8291637301445007,False,Water of Leith at Murrayfield,0.007344186305999756,0.014532923698425293
19010,0.5993131399154663,0.6359823942184448,0.6392135620117188,False,Braid Burn at Liberton,-0.036669254302978516,-0.03990042209625244
20002,0.743852972984314,0.7318755984306335,0.7365074157714844,False,West Peffer Burn at Luffness,0.01197737455368042,0.00734555721282959
20003,0.7640916109085083,0.7462550401687622,0.8392307162284851,False,Tyne at Spilmersford,0.017836570739746094,-0.0751391053199768
20007,0.8344414234161377,0.8028130531311035,0.8823534846305847,False,Gifford Water at Lennoxlove,0.03162837028503418,-0.04791206121444702
21003,0.8774638772010803,0.8735625743865967,0.8967025876045227,False,Tweed at Peebles,0.0039013028144836426,-0.019238710403442383
21006,0.8737713694572449,0.8753011226654053,0.8962319493293762,False,Tweed at Boleside,-0.0015297532081604004,-0.022460579872131348
21008,0.8468739986419678,0.8384522795677185,0.866661548614502,False,Teviot at Ormiston Mill,0.008421719074249268,-0.01978754997253418
21009,0.8958886861801147,0.8884539604187012,0.8523269891738892,False,Tweed at Norham,0.007434725761413574,0.043561697006225586
21011,0.8061915636062622,0.6464654207229614,0.5583027601242065,False,Yarrow Water at Philiphaugh,0.15972614288330078,0.24788880348205566
21012,0.8626540899276733,0.8237738609313965,0.8882248401641846,False,Teviot at Hawick,0.038880228996276855,-0.02557075023651123
21013,0.8086512088775635,0.8095560073852539,0.8613518476486206,False,Gala Water at Galashiels,-0.0009047985076904297,-0.05270063877105713
21015,0.7460974454879761,0.7428539395332336,0.7288646101951599,False,Leader Water at Earlston,0.0032435059547424316,0.017232835292816162
21016,0.777742862701416,0.7624742984771729,0.8131917715072632,False,Eye Water at Eyemouth Mill,0.015268564224243164,-0.03544890880584717
21017,0.8471405506134033,0.73964524269104,0.8832660913467407,False,Ettrick Water at Brockhoperig,0.10749530792236328,-0.0361255407333374
21018,0.8162961006164551,0.8220001459121704,0.7140418887138367,False,Lyne Water at Lyne Station,-0.005704045295715332,0.10225421190261841
